time,G(i),H_sun,T2m,WS10m,Int
20050109:0900,0.0,0.0,0.82,4.66,0.0
20050109:1000,0.0,0.0,0.73,4.76,0.0
20050109:1100,0.0,0.0,0.64,4.86,0.0
20050109:1200,0.0,0.0,0.55,4.95,0.0
20050109:1300,0.0,0.0,0.85,4.94,0.0
20050109:1400,0.0,0.0,1.15,4.93,0.0
20050109:1500,384.72,6.15,1.45,4.92,0.0
20050109:1600,703.03,15.15,4.07,4.85,0.0
20050109:1700,922.49,22.44,6.7,4.77,0.0
20050109:1800,1058.09,27.39,9.33,4.69,0.0
20050109:1900,1109.25,29.42,9.65,5.09,0.0
20050109:2000,1073.28,28.22,9.96,5.5,0.0
20050109:2100,955.3,23.98,10.27,5.9,0.0
20050109:2200,487.05,17.23,7.9,4.98,0.0
20050109:2300,479.26,8.63,5.52,4.06,0.0
20050110:0000,0.0,0.0,3.14,3.14,0.0
20050110:0100,0.0,0.0,1.88,3.18,0.0
20050110:0200,0.0,0.0,0.63,3.22,0.0
20050110:0300,0.0,0.0,-0.63,3.26,0.0
20050110:0400,0.0,0.0,-0.56,3.18,0.0
20050110:0500,0.0,0.0,-0.48,3.11,0.0
20050110:0600,0.0,0.0,-0.41,3.03,0.0
20050110:0700,0.0,0.0,-0.17,3.08,0.0
20050110:0800,0.0,0.0,0.08,3.12,0.0
20050110:0900,0.0,0.0,0.32,3.16,0.0
20050110:1000,0.0,0.0,0.42,3.31,0.0
20050110:1100,0.0,0.0,0.53,3.46,0.0
20050110:1200,0.0,0.0,0.63,3.61,0.0
20050110:1300,0.0,0.0,1.71,3.6,0.0
20050110:1400,0.0,0.0,2.8,3.6,0.0
20050110:1500,6.29,6.19,3.88,3.59,0.0
20050110:1600,469.23,15.21,5.9,3.52,0.0
20050110:1700,642.1,22.53,7.93,3.46,0.0
20050110:1800,1029.08,27.51,9.95,3.39,0.0
20050110:1900,693.09,29.56,10.42,4.35,0.0
20050110:2000,666.88,28.38,10.88,5.31,0.0
20050110:2100,537.06,24.15,11.34,6.26,0.0
20050110:2200,498.63,17.4,9.77,5.37,0.0
20050110:2300,298.2,8.8,8.2,4.48,0.0
20050111:0000,0.0,0.0,6.62,3.59,0.0
20050111:0100,0.0,0.0,4.85,3.21,0.0
20050111:0200,0.0,0.0,3.07,2.83,0.0
20050111:0300,0.0,0.0,1.3,2.46,0.0
20050111:0400,0.0,0.0,1.14,2.36,0.0
20050111:0500,0.0,0.0,0.97,2.26,0.0
20050111:0600,0.0,0.0,0.81,2.17,0.0
